x1,x2,y1,Rg_err,chi2_red,t_a,y1的指标，verdict,R2_w,y2,n_real_peaks,CI,B_factor,B_fit_chi2_red,fwhm_avg,fwhm_min,fwhm_max,snr_peak1,Chi2,Oligo_fit_class,apparent Rg_fit,dimer,dimer_err,hexamer,hexamer_err,monomer,monomer_err,octamer,octamer_err,tetramer,tetramer_err,constant,constant_err
0.0,2.5,14.8,0.1,4.0,16.8,frown curvature / background?,0.98,0,0,0.0,167,,0.001,-0.0004,0.00259,4866915518,,,,,,,,,,,,,,,
0.0,5.0,17.7,0.0,0.9,22.0,smile curvature / wideness,1.0,0,0,0.0,148,,0.001,-0.0006,0.00258,4511672469,263.01,Borderline,15.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00030722,5.0651e-07
0.0,25.0,18.5,0.1,4.5,40.7,smile curvature / wideness,0.99,0,0,0.0,249,,0.005,0.0013,0.02328,32,,,,,,,,,,,,,,,
0.0,37.5,18.9,0.1,6.2,37.3,smile curvature / wideness,0.99,0,0,0.0,303,,0.002,0.0013,0.00274,21576850414,,,,,,,,,,,,,,,
0.0,40.0,19.1,0.1,8.4,35.2,smile curvature / wideness,0.99,0,0,0.0,298,,0.002,0.0015,0.00225,21655277720,,,,,,,,,,,,,,,
0.0,50.0,19.1,0.1,8.2,35.3,smile curvature / wideness,0.99,0,0,0.0,313,,0.002,0.0017,0.00251,26206230247,,,,,,,,,,,,,,,
0.0,60.0,19.3,0.1,9.0,35.8,smile curvature / wideness,0.99,0,0,0.0,327,,0.002,0.0016,0.00253,29763974399,,,,,,,,,,,,,,,
0.0,75.0,19.2,0.1,9.1,35.7,smile curvature / wideness,0.99,0,0,0.0,338,,0.002,0.0017,0.00236,33616091122,,,,,,,,,,,,,,,
0.0,100.0,20.6,0.1,25.3,34.1,smile curvature / wideness,0.97,0,0,0.0,356,,0.002,0.0018,0.00247,39695026841,,,,,,,,,,,,,,,
1.5,2.5,15.2,0.1,3.2,15.4,frown curvature / background?,0.99,1,4,0.098468469,9,583.7373493,0.003,0.0021,0.00664,19,,,,,,,,,,,,,,,
1.5,5.0,16.4,0.0,0.5,2.0,borderline,1.0,0,1,0.0,166,,0.004,0.002,0.01362,8,107.5,OK,15.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00010303,3.9857e-07
1.5,25.0,17.5,0.0,0.9,39.1,smile curvature / wideness,1.0,0,0,0.0,264,,0.007,0.0009,0.04244,10418637512,,,,,,,,,,,,,,,
1.5,37.5,17.6,0.0,1.0,36.9,smile curvature / wideness,1.0,0,0,0.0,309,,0.002,-0.0009,0.00262,273,,,,,,,,,,,,,,,
1.5,40.0,19.5,0.1,5.1,47.8,smile curvature / wideness,0.99,0,0,0.0,307,,0.002,0.0019,0.00252,2,,,,,,,,,,,,,,,
1.5,50.0,19.6,0.1,6.2,44.7,smile curvature / wideness,0.99,1,4,0.181616492,29,1149.462403,0.003,0.0021,0.00528,16,,,,,,,,,,,,,,,
1.5,60.0,19.9,0.1,7.1,47.5,smile curvature / wideness,0.99,1,4,0.205156624,0,697.2854038,0.002,0.0021,0.00221,14,,,,,,,,,,,,,,,
1.5,75.0,19.7,0.1,6.1,49.5,smile curvature / wideness,0.99,1,5,0.195690477,0,2.55657e+22,0.002,0.0018,0.00218,18,,,,,,,,,,,,,,,
1.5,100.0,20.5,0.1,11.4,44.8,smile curvature / wideness,0.99,1,7,0.433160233,29,20249.51977,0.002,0.002,0.0022,54,,,,,,,,,,,,,,,
5.7,2.5,16.0,0.0,0.3,0.6,borderline,1.0,0,1,0.0,141,,0.002,0.0006,0.00228,4,,,,,,,,,,,,,,,
5.7,5.0,19.6,0.1,26.6,26.5,smile curvature / wideness,0.96,1,7,0.684617962,-32,1.09289e+17,0.002,0.0009,0.00221,147,524.76,Borderline,31.5,0.0,0.0,0.0,0.0,0.832,0.001,0.168,0.0,0.0,0.0,0.00046761,6.2713e-07
5.7,25.0,19.0,0.1,6.3,34.4,smile curvature / wideness,0.99,1,6,0.487795529,231,,0.002,0.002,0.00226,32,,,,,,,,,,,,,,,
5.7,37.5,19.7,0.1,9.8,35.2,smile curvature / wideness,0.99,1,6,0.551578449,0,6.94613e+19,0.002,0.0021,0.0023,50,,,,,,,,,,,,,,,
5.7,40.0,20.4,0.2,32.8,27.4,smile curvature / wideness,0.96,1,7,0.774115889,-39,364602.9329,0.002,0.002,0.00222,158,,,,,,,,,,,,,,,
5.7,50.0,20.4,0.2,35.2,27.9,smile curvature / wideness,0.96,1,7,0.795790646,-3,542833.0139,0.002,0.002,0.00221,261,,,,,,,,,,,,,,,
5.7,60.0,20.8,0.2,41.0,28.0,smile curvature / wideness,0.95,1,7,0.789365184,-7,262221.958,0.002,0.002,0.00221,244,968.25,Borderline,31.7,0.0,0.0,0.0,0.0,0.829,0.001,0.171,0.0,0.0,0.0,0.0,0.0
5.7,75.0,22.0,0.2,62.4,28.7,smile curvature / wideness,0.95,1,7,0.883487954,29,47979.77771,0.002,0.002,0.00222,419,,,,,,,,,,,,,,,
5.7,100.0,20.6,0.1,30.4,28.8,smile curvature / wideness,0.96,1,7,0.98307479,39,457956.6508,0.002,0.002,0.00218,645,,,,,,,,,,,,,,,
12.0,2.5,14.9,0.0,0.3,14.3,frown curvature / background?,1.0,0,0,0.0,132,,0.002,0.0012,0.0034,3383934910,440.03,Borderline,15.4,0.0,0.0,0.0,0.0,0.999,0.0,0.0,0.0,0.0,0.0,0.00062495,6.6994e-07
12.0,5.0,18.1,0.1,7.8,25.6,smile curvature / wideness,0.98,1,6,0.562226139,72,21763.50337,0.002,0.001,0.00221,45,280.42,Borderline,27.4,0.0,0.0,0.0,0.0,0.912,0.001,0.087,0.0,0.0,0.0,0.00059777,6.8559e-07
12.0,25.0,19.3,0.1,12.0,31.3,smile curvature / wideness,0.98,1,6,0.562710804,214,,0.002,0.002,0.00223,99,910.09,Borderline,23.5,0.572,0.002,0.0,0.0,0.398,0.002,0.03,0.001,0.0,0.0,0.0,0.0
12.0,37.5,19.7,0.1,10.4,34.2,smile curvature / wideness,0.99,1,7,0.640791199,-30,75408.96886,0.002,0.0021,0.00225,69,,,,,,,,,,,,,,,
12.0,40.0,19.9,0.1,28.3,26.7,smile curvature / wideness,0.96,1,7,0.775509635,0,3.28536e+19,0.002,0.002,0.00222,256,978.76,Borderline,30.2,0.0,0.0,0.0,0.0,0.865,0.001,0.135,0.0,0.0,0.0,9.0915e-05,4.3596e-07
12.0,50.0,20.9,0.2,50.2,26.9,smile curvature / wideness,0.95,1,7,0.839174638,-12,521842.4761,0.002,0.002,0.0022,250,,,,,,,,,,,,,,,
12.0,60.0,21.5,0.2,61.9,27.4,smile curvature / wideness,0.94,1,7,0.869906612,186,,0.002,0.002,0.0022,547,,,,,,,,,,,,,,,
12.0,75.0,21.2,0.2,54.0,28.4,smile curvature / wideness,0.95,1,7,0.91265907,1,537850.5152,0.002,0.002,0.00219,572,,,,,,,,,,,,,,,
12.0,100.0,22.1,0.2,71.1,29.4,smile curvature / wideness,0.94,1,8,0.931577696,55,10057520.69,0.002,0.0018,0.00219,900,,,,,,,,,,,,,,,
24.0,2.5,13.9,0.1,1.7,18.6,frown curvature / background?,0.99,0,0,0.0,92,,0.002,0.0008,0.00264,23,,,,,,,,,,,,,,,
24.0,5.0,15.3,0.0,0.2,7.8,smile curvature / wideness,1.0,0,0,0.0,111,,0.001,-0.0004,0.00234,71,41.19,OK,17.2,0.0,0.0,0.0,0.0,0.992,0.001,0.007,0.0,0.0,0.0,0.000783,7.9295e-07
24.0,25.0,17.5,0.0,2.2,35.4,smile curvature / wideness,0.99,1,4,0.349118161,4,1192.540134,0.002,0.0002,0.00219,19,474.5,Borderline,18.8,0.323,0.001,0.0,0.0,0.677,0.001,0.0,0.0,0.0,0.0,0.0,0.0
24.0,37.5,18.0,0.1,5.1,30.0,smile curvature / wideness,0.99,1,7,0.784011351,16,69588.86388,0.002,0.0021,0.00221,61,710.29,Borderline,23.4,0.252,0.002,0.0,0.0,0.711,0.002,0.037,0.001,0.0,0.0,0.0,0.0
24.0,40.0,17.4,0.0,1.4,48.1,smile curvature / wideness,1.0,0,0,0.0,267,,0.002,0.0017,0.00229,14589821899,,,,,,,,,,,,,,,
24.0,50.0,17.8,0.0,2.7,43.6,smile curvature / wideness,0.99,0,1,0.0,271,,0.002,0.0014,0.00216,3,,,,,,,,,,,,,,,
24.0,60.0,18.0,0.1,3.1,44.9,smile curvature / wideness,0.99,1,4,0.369227359,54,3086.003948,0.002,0.0011,0.00219,19,,,,,,,,,,,,,,,
24.0,75.0,18.2,0.1,3.6,47.7,smile curvature / wideness,0.99,0,0,0.0,312,,0.002,0.0015,0.00298,14,,,,,,,,,,,,,,,
24.0,100.0,17.3,0.0,2.1,57.2,smile curvature / wideness,0.99,0,0,0.0,335,,0.002,0.0017,0.00258,306,,,,,,,,,,,,,,,
30.0,2.5,13.2,0.1,6.2,18.4,frown curvature / background?,0.96,0,0,0.0,79,,0.001,0.0004,0.00336,20,,,,,,,,,,,,,,,
30.0,5.0,14.1,0.0,1.4,17.9,frown curvature / background?,0.99,0,0,0.0,113,,0.002,0.0012,0.00233,2702214536,,,,,,,,,,,,,,,
30.0,25.0,18.0,0.1,6.6,30.2,smile curvature / wideness,0.99,1,7,0.745319278,0,4.12664e+21,0.002,0.002,0.0022,59,903.46,Borderline,24.6,0.048,0.002,0.0,0.0,0.899,0.002,0.053,0.001,0.0,0.0,4.0373e-05,4.4763e-07
30.0,37.5,19.7,0.1,24.9,26.8,smile curvature / wideness,0.97,1,7,0.87437067,-23,454919.0653,0.002,0.002,0.00221,349,,,,,,,,,,,,,,,
30.0,40.0,18.0,0.1,4.2,34.4,smile curvature / wideness,0.99,1,6,0.726403236,0,9.99544e+20,0.002,0.0018,0.00223,67,,,,,,,,,,,,,,,
30.0,50.0,18.5,0.1,6.6,33.9,smile curvature / wideness,0.99,1,6,0.592693574,245,,0.002,0.0018,0.00222,40,,,,,,,,,,,,,,,
30.0,60.0,18.4,0.1,4.8,39.9,smile curvature / wideness,0.99,1,5,0.391570237,263,,0.002,0.0014,0.00221,19,,,,,,,,,,,,,,,
30.0,75.0,18.6,0.1,5.1,43.7,smile curvature / wideness,0.99,1,4,0.373483971,72,3999.676746,0.002,0.0011,0.00219,20,,,,,,,,,,,,,,,
30.0,100.0,14.9,0.0,0.4,32.5,smile curvature / wideness,1.0,0,0,0.0,347,,0.002,0.0012,0.00366,28,,,,,,,,,,,,,,,
40.0,2.5,12.7,0.1,5.7,16.2,frown curvature / background?,0.95,0,0,0.0,53,,0.001,0.0008,0.00215,3,,,,,,,,,,,,,,,
40.0,5.0,13.5,0.1,2.2,21.9,frown curvature / background?,0.99,0,0,0.0,97,,0.002,0.0001,0.00364,7,,,,,,,,,,,,,,,
40.0,25.0,15.6,0.0,0.3,16.8,smile curvature / wideness,1.0,0,0,0.0,217,,0.002,0.0009,0.00304,22,637.48,Borderline,23.6,0.0,0.0,0.0,0.0,0.956,0.001,0.044,0.0,0.0,0.0,0.0,0.0
40.0,37.5,14.8,0.0,0.1,11.4,frown curvature / background?,1.0,0,0,0.0,254,,0.002,0.0012,0.00321,11,,,,,,,,,,,,,,,
40.0,40.0,15.0,0.0,0.0,3.3,smile curvature / wideness,1.0,0,0,0.0,269,,0.002,0.0006,0.0029,15,,,,,,,,,,,,,,,
40.0,50.0,15.2,0.0,0.4,20.0,smile curvature / wideness,1.0,0,0,0.0,260,,0.002,0.0014,0.00316,9,,,,,,,,,,,,,,,
40.0,60.0,15.2,0.0,0.4,24.5,smile curvature / wideness,1.0,0,0,0.0,283,,0.002,0.0014,0.00368,53,,,,,,,,,,,,,,,
40.0,75.0,15.0,0.0,0.3,23.9,smile curvature / wideness,1.0,0,0,0.0,296,,0.002,0.0012,0.00282,59,,,,,,,,,,,,,,,
40.0,100.0,14.5,0.0,0.1,18.5,smile curvature / wideness,1.0,0,0,0.0,328,,0.002,0.0016,0.0035,23,,,,,,,,,,,,,,,
54.6,25.0,15.4,0.0,0.2,14.0,smile curvature / wideness,1.0,0,0,0.0,212,,0.002,0.0008,0.00304,7,713.91,Borderline,24.7,0.0,0.0,0.0,0.0,0.946,0.001,0.054,0.0,0.0,0.0,0.0,0.0
54.6,37.5,14.2,0.0,0.4,19.4,frown curvature / background?,1.0,0,0,0.0,231,,0.002,0.0008,0.0033,13,,,,,,,,,,,,,,,
54.6,40.0,14.4,0.0,0.2,19.5,frown curvature / background?,1.0,0,0,0.0,245,,0.002,0.0008,0.00382,7,,,,,,,,,,,,,,,
54.6,50.0,14.2,0.0,0.2,15.3,frown curvature / background?,1.0,0,0,0.0,256,,0.002,0.0004,0.00308,119,,,,,,,,,,,,,,,
54.6,60.0,14.1,0.0,0.2,16.1,frown curvature / background?,1.0,0,0,0.0,275,,0.002,0.0013,0.00329,10,,,,,,,,,,,,,,,
54.6,75.0,13.5,0.0,0.4,19.7,frown curvature / background?,1.0,0,0,0.0,285,,0.002,0.0012,0.00247,34,,,,,,,,,,,,,,,
54.6,100.0,13.0,0.0,0.5,19.9,frown curvature / background?,1.0,0,0,0.0,310,,0.002,0.0016,0.00292,19,,,,,,,,,,,,,,,
66.7,2.5,18.2,0.1,13.6,22.3,smile curvature / wideness,0.97,0,0,0.0,92,,0.001,0.0005,0.00282,1405921490,390.76,Borderline,31.4,0.0,0.0,0.0,0.0,0.833,0.001,0.166,0.0,0.0,0.0,0.00038293,6.3654e-07
66.7,5.0,16.8,0.1,6.4,19.9,smile curvature / wideness,0.98,0,0,0.0,94,,0.002,0.0011,0.00232,1747438276,149.48,OK,28.1,0.0,0.0,0.0,0.0,0.901,0.001,0.098,0.0,0.0,0.0,0.00071938,7.9002e-07
66.7,25.0,20.5,0.1,5.6,22.6,smile curvature / wideness,0.99,0,0,0.0,211,,0.002,0.0011,0.00235,1384251467,,,,,,,,,,,,,,,
66.7,37.5,17.7,0.0,0.7,10.3,smile curvature / wideness,1.0,0,0,0.0,86,,0.002,0.0007,0.00283,78375561,57.66,OK,20.1,0.0,0.0,0.0,0.0,0.844,0.001,0.0,0.0,0.154,0.0,0.0015866,1.2595e-06
66.7,40.0,17.5,0.0,0.3,0.9,borderline,1.0,0,0,0.0,118,,0.002,0.0006,0.00501,86377189,158.92,OK,18.7,0.33,0.001,0.0,0.0,0.669,0.002,0.0,0.0,0.0,0.0,0.000822,8.4146e-07
66.7,50.0,16.9,0.0,0.6,10.5,smile curvature / wideness,1.0,0,0,0.0,64,,0.002,0.0007,0.00267,134186497,30.06,OK,19.0,0.0,0.0,0.0,0.0,0.886,0.001,0.0,0.0,0.111,0.001,0.002835,1.9377e-06
66.7,60.0,14.6,0.0,0.1,3.3,frown curvature / background?,1.0,0,0,0.0,89,,0.002,0.0009,0.00304,171361264,46.29,OK,15.2,0.0,0.0,0.0,0.0,0.998,0.0,0.0,0.0,0.0,0.0,0.0016528,1.2526e-06
66.7,75.0,14.6,0.0,0.2,9.5,frown curvature / background?,1.0,0,0,0.0,65,,0.002,0.0005,0.00289,175501300,42.77,OK,15.0,0.0,0.0,0.0,0.0,0.997,0.001,0.0,0.0,0.0,0.0,0.0031078,2.0149e-06
66.7,100.0,13.2,0.0,0.3,25.8,frown curvature / background?,1.0,0,0,0.0,63,,0.002,0.0007,0.00288,199789249,68.77,OK,14.9,0.0,0.0,0.0,0.0,0.996,0.001,0.0,0.0,0.0,0.0,0.0035961,2.2316e-06
75.0,2.5,19.6,0.1,4.5,16.0,smile curvature / wideness,0.99,0,0,0.0,130,,0.002,0.0004,0.00274,77,,,,,,,,,,,,,,,
75.0,5.0,18.1,0.1,7.4,19.7,smile curvature / wideness,0.99,0,0,0.0,84,,0.002,0.0004,0.00338,15,529.56,Borderline,31.2,0.0,0.0,0.0,0.0,0.842,0.001,0.158,0.0,0.0,0.0,0.00018607,5.5861e-07
75.0,25.0,18.7,0.0,2.5,13.6,smile curvature / wideness,1.0,0,0,0.0,121,,0.001,0.0006,0.00221,1575623389,206.75,Borderline,26.3,0.168,0.013,0.0,0.0,0.695,0.009,0.068,0.001,0.068,0.005,0.0007304,1.2015e-06
75.0,37.5,17.5,0.0,2.2,11.9,smile curvature / wideness,0.99,0,0,0.0,81,,0.002,0.001,0.00342,1287747211,74.98,OK,25.7,0.0,0.0,0.0,0.0,0.844,0.001,0.062,0.001,0.092,0.001,0.0019183,1.4401e-06
75.0,40.0,15.7,0.0,0.9,16.2,frown curvature / background?,1.0,0,0,0.0,88,,0.001,-0.0023,0.00182,1605256581,966.44,Borderline,15.1,0.0,0.0,0.0,0.0,0.997,0.001,0.0,0.0,0.0,0.0,0.0025222,1.6842e-06
75.0,50.0,14.2,0.1,2.3,18.1,frown curvature / background?,0.99,0,0,0.0,79,,0.002,0.0006,0.00407,59,,,,,,,,,,,,,,,
75.0,60.0,13.9,0.1,2.4,28.9,frown curvature / background?,0.99,0,0,0.0,80,,0.002,0.0004,0.0029,2322569862,,,,,,,,,,,,,,,
75.0,75.0,13.0,0.1,2.1,10.8,frown curvature / background?,0.98,0,0,0.0,85,,0.002,0.0004,0.00445,11,,,,,,,,,,,,,,,
75.0,100.0,14.1,0.1,2.8,21.5,frown curvature / background?,0.99,0,1,0.0,79,,0.002,0.0022,0.00295,3,191.87,OK,15.0,0.0,0.0,0.0,0.0,0.997,0.001,0.0,0.0,0.0,0.0,0.0028979,1.9005e-06
99.0,2.5,16.9,0.0,0.2,5.7,frown curvature / background?,1.0,0,0,0.0,62,,0.002,0.0008,0.00247,1615766362,102.46,OK,23.7,0.0,0.0,0.0,0.0,0.87,0.001,0.042,0.001,0.085,0.001,0.0035303,2.2411e-06
99.0,5.0,17.2,0.0,1.3,14.2,smile curvature / wideness,1.0,0,0,0.0,62,,0.002,0.0006,0.00226,1457912794,135.86,OK,29.3,0.0,0.0,0.0,0.0,0.869,0.001,0.128,0.0,0.0,0.0,0.0036981,2.3094e-06
99.0,25.0,19.1,0.0,1.9,21.3,smile curvature / wideness,1.0,0,0,0.0,106,,0.002,0.0007,0.00373,157,354.06,Borderline,29.6,0.137,0.003,0.0,0.0,0.731,0.003,0.131,0.001,0.0,0.0,0.0013839,1.1743e-06
99.0,37.5,18.4,0.0,1.7,21.7,smile curvature / wideness,1.0,0,0,0.0,67,,0.004,0.002,0.00813,6,219.05,Borderline,30.9,0.0,0.0,0.0,0.0,0.83,0.001,0.167,0.0,0.0,0.0,0.0034747,2.2538e-06
99.0,40.0,14.6,0.0,1.8,17.8,frown curvature / background?,0.99,0,0,0.0,70,,0.001,-0.0036,0.00422,1166089386,223.84,Borderline,14.9,0.0,0.0,0.0,0.0,0.996,0.001,0.0,0.0,0.0,0.0,0.0040404,2.5046e-06
99.0,50.0,14.6,0.0,0.3,16.1,frown curvature / background?,1.0,0,0,0.0,75,,0.002,0.0011,0.00383,4,159.15,OK,16.6,0.0,0.0,0.0,0.0,0.991,0.001,0.006,0.0,0.0,0.0,0.0032776,2.1475e-06
99.0,60.0,13.0,0.1,9.9,24.7,frown curvature / background?,0.93,0,0,0.0,63,,0.002,0.0007,0.00539,13,,,,,,,,,,,,,,,
99.0,70.0,11.4,0.2,10.2,28.8,frown curvature / background?,0.88,0,0,0.0,65,,0.002,0.0011,0.00345,8,,,,,,,,,,,,,,,
